Category,Manufacturer,Model,Selection.Model,Usage.hours,Year,Age.at.the.sale,Year.of.Sale,Location.code.ISO,Price,Currency,Origine.Data,URL,Id,annonce_id,clean_model,scrap_id
nacelle-automotrice,Manitou,105 VJR-2,,1227,2005,11,2016,FR,8500,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/6971046/manitou-105-vjr-2.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/6971046/manitou-105-vjr-2.html,83532,105 VJR-2,2338
nacelle-automotrice,Manitou,105 VJR-2,,1112,2004,12,2016,FR,8000,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/10839226/manitou-105-vjr-2.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/10839226/manitou-105-vjr-2.html,93972,105 VJR-2,2338
Other,Manitou,105 VJR2,105VJR,2212,2005,10,2015,FR,2315,USD,http://www.mascus.com,http://www.mascus.com/construction/used-construction-other/manitou-105-vjr2/co4pcoih.html,http://www.mascus.com/construction/used-construction-other/manitou-105-vjr2/co4pcoih.html,68699,105 VJR2,1564
Other,Manitou,105 VJR2,105VJR,515,2004,11,2015,FR,1407,USD,http://www.mascus.com,http://www.mascus.com/construction/used-construction-other/manitou-105-vjr2/bndjhsfh.html,http://www.mascus.com/construction/used-construction-other/manitou-105-vjr2/bndjhsfh.html,68722,105 VJR2,1564
Other lifts and platforms,Manitou,105 VJR2,105VJR,575,2004,11,2015,FR,2358,USD,http://www.mascus.com,http://www.mascus.com/construction/used-other-lifts-and-platforms/manitou-105-vjr2/9l6qdh5k.html,http://www.mascus.com/construction/used-other-lifts-and-platforms/manitou-105-vjr2/9l6qdh5k.html,68830,105 VJR2,1564
Other,Manitou,105 VJR2,105VJR,656,2007,8,2015,FR,3673,USD,http://www.mascus.com,http://www.mascus.com/construction/used-construction-other/manitou-105-vjr2/fhhi6l8g.html,http://www.mascus.com/construction/used-construction-other/manitou-105-vjr2/fhhi6l8g.html,68943,105 VJR2,1564
Self-Propelled Aerial Platforms,Manitou,105 VJR2,105VJR,551,2007,8,2015,FR,3673,USD,http://www.mascus.com,http://www.mascus.com/construction/used-self-propelled-aerial-platform/manitou-105-vjr2/3j9khqeg.html,http://www.mascus.com/construction/used-self-propelled-aerial-platform/manitou-105-vjr2/3j9khqeg.html,71172,105 VJR2,1564
Self-Propelled Aerial Platforms,Manitou,105 VJR2,105VJR,407,2007,8,2015,FR,4127,USD,http://www.mascus.com,http://www.mascus.com/construction/used-self-propelled-aerial-platform/manitou-105-vjr2/do9qatcr.html,http://www.mascus.com/construction/used-self-propelled-aerial-platform/manitou-105-vjr2/do9qatcr.html,71765,105 VJR2,1564
nacelle-automotrice,Manitou,105 VJR2,105VJR,655,2007,8,2015,FR,2745,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/5834922/manitou-105-vjr2.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/5834922/manitou-105-vjr2.html,81158,105 VJR2,1564
nacelle élévatrice-automotrice,Manitou,105 VJR2,105VJR,817,2005,10,2015,FR,3105,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/5832158/manitou-105-vjr2.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/5832158/manitou-105-vjr2.html,81779,105 VJR2,1564
